dj,position,year
Above--Beyond,10,2015
Above--Beyond,7,2016
Above--Beyond,9,2017
Above--Beyond,11,2018
Above--Beyond,10,2019
Above--Beyond,9,2020
Above--Beyond,10,2021
Above--Beyond,7,2022
Above--Beyond,8,2023
Joel-Corry,42,2011
Joel-Corry,15,2012
Joel-Corry,8,2013
Joel-Corry,10,2014
Joel-Corry,10,2015
Joel-Corry,7,2016
Joel-Corry,9,2017
Joel-Corry,11,2018
Joel-Corry,10,2019
Joel-Corry,9,2020
Joel-Corry,10,2021
Joel-Corry,7,2022
Joel-Corry,8,2023
Danny-Avila,42,2011
Danny-Avila,15,2012
Danny-Avila,8,2013
Danny-Avila,10,2014
Danny-Avila,10,2015
Danny-Avila,7,2016
Danny-Avila,9,2017
Danny-Avila,11,2018
Danny-Avila,10,2019
Danny-Avila,9,2020
Danny-Avila,10,2021
Danny-Avila,7,2022
Danny-Avila,8,2023
Mariana-Bo,42,2011
Mariana-Bo,15,2012
Mariana-Bo,8,2013
Mariana-Bo,10,2014
Mariana-Bo,10,2015
Mariana-Bo,7,2016
Mariana-Bo,9,2017
Mariana-Bo,11,2018
Mariana-Bo,10,2019
Mariana-Bo,9,2020
Mariana-Bo,10,2021
Mariana-Bo,7,2022
Mariana-Bo,8,2023
The-Chainsmokers,42,2011
The-Chainsmokers,15,2012
The-Chainsmokers,8,2013
The-Chainsmokers,10,2014
The-Chainsmokers,10,2015
The-Chainsmokers,7,2016
The-Chainsmokers,9,2017
The-Chainsmokers,11,2018
The-Chainsmokers,10,2019
The-Chainsmokers,9,2020
The-Chainsmokers,10,2021
The-Chainsmokers,7,2022
The-Chainsmokers,8,2023
Paul-van-Dyk,42,2011
Paul-van-Dyk,15,2012
Paul-van-Dyk,8,2013
Paul-van-Dyk,10,2014
Paul-van-Dyk,10,2015
Paul-van-Dyk,7,2016
Paul-van-Dyk,9,2017
Paul-van-Dyk,11,2018
Paul-van-Dyk,10,2019
Paul-van-Dyk,9,2020
Paul-van-Dyk,10,2021
Paul-van-Dyk,7,2022
Paul-van-Dyk,8,2023
Deborah-De-Luca,42,2011
Deborah-De-Luca,15,2012
Deborah-De-Luca,8,2013
Deborah-De-Luca,10,2014
Deborah-De-Luca,10,2015
Deborah-De-Luca,7,2016
Deborah-De-Luca,9,2017
Deborah-De-Luca,11,2018
Deborah-De-Luca,10,2019
Deborah-De-Luca,9,2020
Deborah-De-Luca,10,2021
Deborah-De-Luca,7,2022
Deborah-De-Luca,8,2023
Zedd,42,2011
Zedd,15,2012
Zedd,8,2013
Zedd,10,2014
Zedd,10,2015
Zedd,7,2016
Zedd,9,2017
Zedd,11,2018
Zedd,10,2019
Zedd,9,2020
Zedd,10,2021
Zedd,7,2022
Zedd,8,2023
Nervo,42,2011
Nervo,15,2012
Nervo,8,2013
Nervo,10,2014
Nervo,10,2015
Nervo,7,2016
Nervo,9,2017
Nervo,11,2018
Nervo,10,2019
Nervo,9,2020
Nervo,10,2021
Nervo,7,2022
Nervo,8,2023
ATB,42,2011
ATB,15,2012
ATB,8,2013
ATB,10,2014
ATB,10,2015
ATB,7,2016
ATB,9,2017
ATB,11,2018
ATB,10,2019
ATB,9,2020
ATB,10,2021
ATB,7,2022
ATB,8,2023
Beauz,42,2011
Beauz,15,2012
Beauz,8,2013
Beauz,10,2014
Beauz,10,2015
Beauz,7,2016
Beauz,9,2017
Beauz,11,2018
Beauz,10,2019
Beauz,9,2020
Beauz,10,2021
Beauz,7,2022
Beauz,8,2023
